"correo1@openvdi.com", "Apellido1 Apellido1", "Nombre", "role1"
"correo1@openvdi.com", "Apellido2 Apellido2", "Nombre", "role1;role2"
"", "Apellido3 Apellido3", "Nombre", "role1;role2"
"correo4openvdi.com","Apellido4 Apellido4","Nombre","role1;role2"
"correo5@openvdi.com", "", "Nombre", ""
"correo6@openvdi.com","", "Nombre"
"admin@openvdi.com","Admin Admin","admin","admin"
"repeateduser@openvdi.com","Apellido1 Apellido1","Nombre1","role1"
"repeateduser@openvdi.com","Apellido1 Apellido1","Nombre1","role1"
"correct1@openvdi.com","Apellido1 Apellido1","Nombre1","role1"
"roleerror@openvdi.com","Apellido1 Apellido1","Nombre1","rolenotexist"
